tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
hiphop,12 Gauge,bass,Hip-Hop,9842,Duice,504 Boyz,Sway & King Tech,2659
Dirty South,2 Chainz,rap,Hip-Hop,6419267,Gucci Mane,Future,French Montana,519208
rnb,2 Pistols,rap,Hip-Hop,616984,Yung Berg,Brisco,Playaz Circle,165783
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,21 Savage,Hip-Hop,trap,793562,Kodak Black,LIL UZI VERT,Famous Dex,50343
rap,2Mex,underground hip-hop,Hip-Hop,152597,Mystik Journeymen,Of Mexican Descent,Bicasso,14838
Aussie Hip-Hop,360,australian,Hip-Hop,687870,Seth Sentry,Illy,Bliss n Eso,40858
Gangsta Rap,40 Glocc,Hip-Hop,rap,122274,Spider Loc,Swifty McVay,Hot Rod,27197
Gangsta Rap,50 Cent,Hip-Hop,rap,36904214,G-Unit,Lloyd Banks,Tony Yayo,2528347
50 Cent,6 Tre G,2pac,Hip-Hop,8494,Mata,Betta Half,G-Side,1255
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,9th Wonder,producer,Hip-Hop,1965220,Little Brother,Murs,9th Wonder & Buckshot,134907
funk,Andre 3000,rap,Hip-Hop,2410017,Big Boi,OutKast,N*E*R*D,205805
seen live,Big Boi,rap,Hip-Hop,8486228,Andre 3000,OutKast,Big K.R.I.T.,490374
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Stones throw,Arabian Prince,Hip-Hop,electro,71141,Baron Zen,Chocolate Star,Jonathon Brown,14291
underground hip-hop,Ab-Soul,rap,Hip-Hop,4310898,ScHoolboy Q,Jay Rock,Isaiah Rashad,202109
rap,Abstract Rude,underground hip-hop,Hip-Hop,360067,The Grouch,Aceyalone,Sandpeople,42282
Dirty South,Ace Hood,Hip-Hop,rap,4112805,Young Jeezy,Rick Ross,Meek Mill,688564
rap,Aceyalone,hip hop,Hip-Hop,1509684,Freestyle Fellowship,Haiku D'Etat,Soul Position,129805
underground hip-hop,Action Bronson,rap,Hip-Hop,6430013,Action Bronson & Statik Selektah,Action Bronson & The Alchemist,Action Bronson & Party Supplies,217446
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Aesop Rock,underground hip-hop,Hip-Hop,21167013,Hail Mary Mallon,Rob Sonic,El-P,534618
electro,Afrika Bambaataa,funk,Hip-Hop,912268,Afrika Bambaataa & The Soulsonic Force,Grandmaster Flash and The Furious Five,Kurtis Blow,158859
reggae,Afroman,Hip-Hop,rap,3557494,Ying Yang Twins,Coolio,Nelly,455562
underground hip-hop,Afu-Ra,rap,Hip-Hop,1682695,Jeru the Damaja,Artifacts,Group Home,141168
rap,Agallah,Hip-Hop,underground hip-hop,68167,Purple City,Duke Da God,40 Cal.,9849
90s,Ahmad,rap,Hip-Hop,125231,Positive K,Pete Rock & C.L. Smooth,Luniz,18520
rap,Ajs Nigrutin,seen live,Hip-Hop,339436,43zla,Prti Bee Gee,Wikluh Sky,9044
UK hip-hop,Akala,Hip-Hop,Grime,1245211,Lowkey,Roll Deep,Kano,121621
hip hop,Akinyele,rap,Hip-Hop,197990,Lord Finesse,Beanie Sigel,The Beatnuts,36038
political,Akir,underground hip-hop,Hip-Hop,196620,Poison Pen,Soul Purpose,The Lost Children of Babylon,28709
rap,Akon,rnb,Hip-Hop,23934234,Sean Kingston,Jay Sean,T-Pain,1922369
producer,The Alchemist,rap,Hip-Hop,1716840,Gangrene,Evidence,Sean Price,109461
underground hip-hop,Ali Vegas,new york,Hip-Hop,73223,Grafh,Agallah,Big Twins,7629
electronic,Alpha,downtempo,trip-hop,1981652,Martina Topley-Bird,Kid Loco,Esthero,220320
J-rock,Amadeus,japanese,visual kei,186684,Malice Mizer,Moi dix Mois,Velvet Eden,17163
west coast,AMG,Hip-Hop,rap,176434,2nd II None,Da Lench Mob,Too $hort,36462
new york,Amil,rap,Hip-Hop,24642,Charli Baltimore,Big Jaz,Young Gunz,5517
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Ampichino,Bay Area,rap,42154,Killa Keise,Fed-X,The Mob Figaz,6621
seen live,Anderson .Paak,Hip-Hop,soul,1907502,Nxworries,BJ The Chicago Kid,Frank Ocean,82189
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Andre Nickatina,Bay Area,rap,3138620,Mac Dre,The Jacka,E-40,158326
christian hip-hop,Andy Mineo,christian,Hip-Hop,367207,KB,Lecrae,Trip Lee,22322
female vocalists,Angel Haze,rap,Hip-Hop,2510128,Nicki Minaj,Brooke Candy,Azealia Banks,138914
rnb,Angie Martinez,rap,Hip-Hop,159039,Charli Baltimore,Ms. Jade,"Lisa ""Left Eye"" Lopes",34476
Hip-Hop,ANT,indie,indie pop,106776,Agnes Kain,Tamas Wells,Pale Sunday,11099
Bay Area,Ant Banks,G-funk,West Coast Rap,128494,Spice 1,2nd II None,Above the Law,30632
metalcore,Antoinette,60s girls,60s,14081,Barry St. John,Barbara Ruskin,Jeannie & The Big Guys,3998
psychopathic,Anybody Killa,Horrorcore,juggalo,654856,2 Dope,DJ Clay,Violent J,80509
Hip-Hop,Apache,native american,rap,156381,Canserbero,Partybreaker,NoWay,17947
doom metal,Apathy,underground hip-hop,Hip-Hop,2159609,Celph Titled,Apathy & Celph Titled,The Demigodz,121006
NA,NA,NA,NA,NA,NA,NA,NA,NA
trap,A$AP Ferg,rap,Hip-Hop,4391498,A$AP Rocky,ScHoolboy Q,Travi$ Scott,195283
seen live,A$AP Nast,swag,Hip-Hop,13399,A$AP Twelvyy,A$ton Matthews,Curren$y & Smoke DZA,1794
underground hip-hop,A$AP Rocky,rap,Hip-Hop,33015966,A$AP Ferg,ScHoolboy Q,A$AP Mob,766896
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,Asher Roth,rap,Hip-Hop,6956718,Mac Miller,Chiddy Bang,The Cool Kids,693017
indie,Astronautalis,seen live,Hip-Hop,3429247,Doomtree,Sims,P.O.S.,77637
hip hop,AWOL ONE,underground hip-hop,Hip-Hop,148691,2Mex,Awol One & Factor,AWOL One & Daddy Kev,18859
hip hop,Awkwafina,Hip-Hop,rap,107524,Cakes Da Killa,JUNGLEPUSSY,Kitty,8485
new york,AZ,rap,Hip-Hop,3719641,Cormega,Nas,Kool G Rap,331116
electronic,Azealia Banks,rap,Hip-Hop,18815400,Brooke Candy,M.I.A.,Nicki Minaj,486392
old school,Big Daddy Kane,rap,Hip-Hop,1725723,EPMD,Boogie Down Productions,Eric B. & Rakim,247962
hip hop,Busta Rhymes,rap,Hip-Hop,14485450,Redman,Xzibit,Method Man,1286831
rap,B-Legit,west coast,Bay Area,215650,Celly Cel,C-Bo,Ant Banks,45625
Latin Rap,B-Real,rap,Hip-Hop,767566,Cypress Hill,The Psycho Realm,DJ Muggs,74779
Hip-Hop,B.G.,rap,Dirty South,825479,Juvenile,Big Tymers,C-Murder,196969
Hip-Hop,B.G. Knocc Out,G-funk,rap,17811,Big Prodeje,Tweedy Bird Loc,Dresta,1633
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Baby Bash,rnb,Hip-Hop,2722943,T-Pain,Bow Wow,B2K,515368
