tag3,artist,tag2,tag1,playcount,similar1,similar2,similar3,listener_count
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
hiphop,12 Gauge,bass,Hip-Hop,9846,Duice,504 Boyz,Southern Playas,2660
Dirty South,2 Chainz,rap,Hip-Hop,6435508,Gucci Mane,Future,French Montana,520267
rnb,2 Pistols,rap,Hip-Hop,617015,Yung Berg,Brisco,Playaz Circle,165793
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,21 Savage,Hip-Hop,trap,809521,Kodak Black,LIL UZI VERT,MADEINTYO,51132
rap,2Mex,underground hip-hop,Hip-Hop,152636,Mystik Journeymen,Bicasso,Of Mexican Descent,14841
Aussie Hip-Hop,360,australian,Hip-Hop,688365,Seth Sentry,Illy,Bliss n Eso,40897
Gangsta Rap,40 Glocc,Hip-Hop,rap,122368,Spider Loc,Swifty McVay,Hot Rod,27200
Gangsta Rap,50 Cent,Hip-Hop,rap,36930530,G-Unit,Lloyd Banks,Tony Yayo,2529495
50 Cent,6 Tre G,2pac,Hip-Hop,8494,Mata,Betta Half,G-Side,1255
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,9th Wonder,producer,Hip-Hop,1968092,Little Brother,Murs,Black Milk,135131
funk,Andre 3000,rap,Hip-Hop,2410399,Big Boi,OutKast,N*E*R*D,205850
seen live,Big Boi,rap,Hip-Hop,8500251,Andre 3000,OutKast,Big K.R.I.T.,492215
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
Stones throw,Arabian Prince,Hip-Hop,electro,71165,Baron Zen,Chocolate Star,Jonathon Brown,14295
underground hip-hop,Ab-Soul,rap,Hip-Hop,4322982,ScHoolboy Q,Jay Rock,Isaiah Rashad,202799
rap,Abstract Rude,underground hip-hop,Hip-Hop,360446,Aceyalone,The Grouch,Eligh,42356
Dirty South,Ace Hood,Hip-Hop,rap,4114942,Young Jeezy,Rick Ross,Meek Mill,688832
rap,Aceyalone,hip hop,Hip-Hop,1510372,Freestyle Fellowship,Haiku D'Etat,Abstract Rude,129854
underground hip-hop,Action Bronson,rap,Hip-Hop,6441408,Action Bronson & Statik Selektah,Action Bronson & The Alchemist,Action Bronson & Party Supplies,218115
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Aesop Rock,underground hip-hop,Hip-Hop,21193462,Hail Mary Mallon,Rob Sonic,El-P,535064
electro,Afrika Bambaataa,funk,Hip-Hop,913075,Afrika Bambaataa & The Soulsonic Force,Grandmaster Flash and The Furious Five,Kurtis Blow,158996
reggae,Afroman,Hip-Hop,rap,3559361,Ying Yang Twins,Coolio,Ludacris,455919
underground hip-hop,Afu-Ra,rap,Hip-Hop,1684698,Jeru the Damaja,Artifacts,Black Moon,141232
rap,Agallah,Hip-Hop,underground hip-hop,68204,Purple City,Duke Da God,Jay Bezel,9853
90s,Ahmad,rap,Hip-Hop,125337,Positive K,Pete Rock & C.L. Smooth,Luniz,18533
rap,Ajs Nigrutin,seen live,Hip-Hop,339532,43zla,Prti Bee Gee,Wikluh Sky,9044
UK hip-hop,Akala,Hip-Hop,Grime,1245981,Lowkey,Kano,Roll Deep,121672
hip hop,Akinyele,rap,Hip-Hop,198158,Lord Finesse,The Beatnuts,Cocoa Brovaz,36066
political,Akir,underground hip-hop,Hip-Hop,196642,Poison Pen,Soul Purpose,The Lost Children of Babylon,28711
rap,Akon,rnb,Hip-Hop,23943722,Sean Kingston,Jay Sean,Iyaz,1923285
producer,The Alchemist,rap,Hip-Hop,1720161,Gangrene,Evidence,Sean Price,109712
underground hip-hop,Ali Vegas,new york,Hip-Hop,73292,Grafh,Agallah,Big Twins,7634
electronic,Alpha,downtempo,trip-hop,1982610,Kid Loco,Martina Topley-Bird,Lamb,220376
J-rock,Amadeus,japanese,visual kei,186930,Malice Mizer,Moi dix Mois,Velvet Eden,17172
west coast,AMG,Hip-Hop,rap,176559,2nd II None,Too $hort,Da Lench Mob,36479
new york,Amil,rap,Hip-Hop,24664,Charli Baltimore,Big Jaz,Young Gunz,5522
NA,NA,NA,NA,NA,NA,NA,NA,NA
hip hop,Ampichino,Bay Area,rap,42173,Killa Keise,Fed-X,The Mob Figaz,6622
seen live,Anderson .Paak,Hip-Hop,soul,1944008,Nxworries,BJ The Chicago Kid,Frank Ocean,83716
NA,NA,NA,NA,NA,NA,NA,NA,NA
Hip-Hop,Andre Nickatina,Bay Area,rap,3139730,Mac Dre,The Jacka,E-40,158386
christian hip-hop,Andy Mineo,christian,Hip-Hop,368640,KB,Lecrae,Trip Lee,22481
female vocalists,Angel Haze,rap,Hip-Hop,2513410,Nicki Minaj,Brooke Candy,Azealia Banks,139088
rnb,Angie Martinez,rap,Hip-Hop,159082,Charli Baltimore,Ms. Jade,"Lisa ""Left Eye"" Lopes",34487
Hip-Hop,ANT,indie,indie pop,106828,Agnes Kain,Tamas Wells,Pale Sunday,11103
Bay Area,Ant Banks,G-funk,West Coast Rap,128572,Spice 1,2nd II None,Above the Law,30651
metalcore,Antoinette,60s girls,60s,14083,Jackie Frisco,Barry St. John,Barbara Ruskin,4000
psychopathic,Anybody Killa,Horrorcore,juggalo,654979,2 Dope,DJ Clay,Violent J,80513
Hip-Hop,Apache,native american,rap,156729,Canserbero,Partybreaker,NoWay,17984
doom metal,Apathy,underground hip-hop,Hip-Hop,2161427,Celph Titled,Apathy & Celph Titled,The Demigodz,121116
NA,NA,NA,NA,NA,NA,NA,NA,NA
trap,A$AP Ferg,rap,Hip-Hop,4407587,A$AP Rocky,A$AP Mob,Travi$ Scott,196273
seen live,A$AP Nast,swag,Hip-Hop,13412,A$AP Twelvyy,A$ton Matthews,Curren$y & Smoke DZA,1798
underground hip-hop,A$AP Rocky,rap,Hip-Hop,33075370,A$AP Ferg,ScHoolboy Q,Travi$ Scott,768296
NA,NA,NA,NA,NA,NA,NA,NA,NA
underground hip-hop,Asher Roth,rap,Hip-Hop,6958685,Mac Miller,Chiddy Bang,The Cool Kids,693210
indie,Astronautalis,seen live,Hip-Hop,3432522,Sims,Doomtree,P.O.S.,77731
hip hop,AWOL ONE,underground hip-hop,Hip-Hop,148780,2Mex,Awol One & Factor,AWOL One & Daddy Kev,18872
hip hop,Awkwafina,Hip-Hop,rap,108144,JUNGLEPUSSY,Cakes Da Killa,Kitty,8537
new york,AZ,rap,Hip-Hop,3721441,Cormega,Nas,Masta Ace,331292
electronic,Azealia Banks,rap,Hip-Hop,18840710,Brooke Candy,M.I.A.,Nicki Minaj,486884
old school,Big Daddy Kane,rap,Hip-Hop,1727318,EPMD,Boogie Down Productions,Eric B. & Rakim,248150
hip hop,Busta Rhymes,rap,Hip-Hop,14496043,Redman,Xzibit,Method Man,1287574
rap,B-Legit,west coast,Bay Area,215824,Celly Cel,C-Bo,Ant Banks,45671
Latin Rap,B-Real,rap,Hip-Hop,767703,Cypress Hill,The Psycho Realm,WC,74792
Hip-Hop,B.G.,rap,Dirty South,825706,Juvenile,Big Tymers,C-Murder,196989
Hip-Hop,B.G. Knocc Out,G-funk,rap,17887,Big Prodeje,Tweedy Bird Loc,Dresta,1641
NA,NA,NA,NA,NA,NA,NA,NA,NA
rap,Baby Bash,rnb,Hip-Hop,2724595,Bow Wow,T-Pain,B2K,515659
